,Year,Prodcom code,Commodity code,Prodcom Description,Commodity Description
2828,2025,13.20.20.19,52121310,"Woven fabrics of cotton, not of yarns of different colours, weighing ≤ 200 g/m², for technical or industrial uses (excluding gauze, medical gauze)","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing <= 200 g/m², dyed"
2829,2025,13.20.20.19,52121390,"Woven fabrics of cotton, not of yarns of different colours, weighing ≤ 200 g/m², for technical or industrial uses (excluding gauze, medical gauze)","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing <= 200 g/m², dyed"
2830,2025,13.20.20.19,52121510,"Woven fabrics of cotton, not of yarns of different colours, weighing ≤ 200 g/m², for technical or industrial uses (excluding gauze, medical gauze)","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing <= 200 g/m², printed"
2831,2025,13.20.20.19,52121590,"Woven fabrics of cotton, not of yarns of different colours, weighing ≤ 200 g/m², for technical or industrial uses (excluding gauze, medical gauze)","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing <= 200 g/m², printed"
2832,2025,13.20.20.20,52081110,"Woven fabrics of cotton weighing ≤ 100 g/m², for medical gauzes, bandages and dressings","Plain woven fabrics of cotton for the manufacture of bandages, dressings and medical gauzes, containing >= 85% cotton by weight and weighing <= 100 g/m², unbleached"
2833,2025,13.20.20.20,52082110,"Woven fabrics of cotton weighing ≤ 100 g/m², for medical gauzes, bandages and dressings","Plain woven fabrics of cotton for the manufacture of bandages, dressings and medical gauzes, containing >= 85% cotton by weight and weighing <= 100 g/m², bleached"
2834,2025,13.20.20.31,52084100,"Woven fabrics of cotton of yarns of different colours, weighing ≤ 200 g/m², for shirts and blouses","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m², made from yarn of different colours"
2835,2025,13.20.20.31,52084200,"Woven fabrics of cotton of yarns of different colours, weighing ≤ 200 g/m², for shirts and blouses","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 g/m², made from yarn of different colours"
2836,2025,13.20.20.31,52084300,"Woven fabrics of cotton of yarns of different colours, weighing ≤ 200 g/m², for shirts and blouses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m², in three-thread or four-thread twill, incl. cross twill, made from yarn of different colours"
2837,2025,13.20.20.31,52084900,"Woven fabrics of cotton of yarns of different colours, weighing ≤ 200 g/m², for shirts and blouses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m², made from yarn of different colours (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2838,2025,13.20.20.31,52104100,"Woven fabrics of cotton of yarns of different colours, weighing ≤ 200 g/m², for shirts and blouses","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing <= 200 g/m², made of yarn of different colours"
2839,2025,13.20.20.31,52104900,"Woven fabrics of cotton of yarns of different colours, weighing ≤ 200 g/m², for shirts and blouses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing <= 200 g/m², made from yarn of different colours (excl. plain woven fabrics)"
2840,2025,13.20.20.42,52091100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², unbleached"
2841,2025,13.20.20.42,52091200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, unbleached"
2842,2025,13.20.20.42,52091900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², unbleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2843,2025,13.20.20.42,52092100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², bleached"
2844,2025,13.20.20.42,52092200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, bleached"
2845,2025,13.20.20.42,52092900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², bleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2846,2025,13.20.20.42,52093100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², dyed"
2847,2025,13.20.20.42,52093200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, dyed"
2848,2025,13.20.20.42,52093900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², dyed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2849,2025,13.20.20.42,52095100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², printed"
2850,2025,13.20.20.42,52095200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, printed"
2851,2025,13.20.20.42,52095900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², printed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2852,2025,13.20.20.42,52111100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², unbleached"
2853,2025,13.20.20.42,52111200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, unbleached"
2854,2025,13.20.20.42,52111900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², unbleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabri"
2855,2025,13.20.20.42,52112000,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², bleached"
2856,2025,13.20.20.42,52113100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², dyed"
2857,2025,13.20.20.42,52113200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, dyed"
2858,2025,13.20.20.42,52113900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², dyed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2859,2025,13.20.20.42,52115100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², printed"
2860,2025,13.20.20.42,52115200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, printed"
2861,2025,13.20.20.42,52115900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², printed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2862,2025,13.20.20.42,52122110,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², unbleached"
2863,2025,13.20.20.42,52122190,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², unbleached"
2864,2025,13.20.20.42,52122210,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², bleached"
2865,2025,13.20.20.42,52122290,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², bleached"
2866,2025,13.20.20.42,52122310,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with flax, weighing > 200 g/m², dyed"
2867,2025,13.20.20.42,52122390,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², dyed"
2868,2025,13.20.20.42,52122510,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², printed"
2869,2025,13.20.20.42,52122590,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for clothing","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², printed"
2870,2025,13.20.20.44,52091100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², unbleached"
2871,2025,13.20.20.44,52091200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, unbleached"
2872,2025,13.20.20.44,52091900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², unbleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2873,2025,13.20.20.44,52092100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², bleached"
2874,2025,13.20.20.44,52092200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, bleached"
2875,2025,13.20.20.44,52092900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², bleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2876,2025,13.20.20.44,52093100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², dyed"
2877,2025,13.20.20.44,52093200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, dyed"
2878,2025,13.20.20.44,52093900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², dyed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2879,2025,13.20.20.44,52095100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², printed"
2880,2025,13.20.20.44,52095200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, printed"
2881,2025,13.20.20.44,52095900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², printed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2882,2025,13.20.20.44,52111100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², unbleached"
2883,2025,13.20.20.44,52111200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, unbleached"
2884,2025,13.20.20.44,52111900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², unbleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabri"
2885,2025,13.20.20.44,52112000,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², bleached"
2886,2025,13.20.20.44,52113100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², dyed"
2887,2025,13.20.20.44,52113200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, dyed"
2888,2025,13.20.20.44,52113900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², dyed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2889,2025,13.20.20.44,52115100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², printed"
2890,2025,13.20.20.44,52115200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, printed"
2891,2025,13.20.20.44,52115900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², printed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2892,2025,13.20.20.44,52122110,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², unbleached"
2893,2025,13.20.20.44,52122190,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², unbleached"
2894,2025,13.20.20.44,52122210,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², bleached"
2895,2025,13.20.20.44,52122290,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², bleached"
2896,2025,13.20.20.44,52122310,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with flax, weighing > 200 g/m², dyed"
2897,2025,13.20.20.44,52122390,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², dyed"
2898,2025,13.20.20.44,52122510,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², printed"
2899,2025,13.20.20.44,52122590,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for household linen or home furnishing textiles","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², printed"
2900,2025,13.20.20.49,52091100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², unbleached"
2901,2025,13.20.20.49,52091200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, unbleached"
2902,2025,13.20.20.49,52091900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², unbleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2903,2025,13.20.20.49,52092100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², bleached"
2904,2025,13.20.20.49,52092200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, bleached"
2905,2025,13.20.20.49,52092900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², bleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2906,2025,13.20.20.49,52093100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², dyed"
2907,2025,13.20.20.49,52093200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, dyed"
2908,2025,13.20.20.49,52093900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², dyed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2909,2025,13.20.20.49,52095100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², printed"
2910,2025,13.20.20.49,52095200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, printed"
2911,2025,13.20.20.49,52095900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m², printed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2912,2025,13.20.20.49,52111100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², unbleached"
2913,2025,13.20.20.49,52111200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, unbleached"
2914,2025,13.20.20.49,52111900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², unbleached (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabri"
2915,2025,13.20.20.49,52112000,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², bleached"
2916,2025,13.20.20.49,52113100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², dyed"
2917,2025,13.20.20.49,52113200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, dyed"
2918,2025,13.20.20.49,52113900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², dyed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2919,2025,13.20.20.49,52115100,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², printed"
2920,2025,13.20.20.49,52115200,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², in three-thread or four-thread twill, incl. cross twill, printed"
2921,2025,13.20.20.49,52115900,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², printed (excl. those in three-thread or four-thread twill, incl. cross twill, and plain woven fabrics)"
2922,2025,13.20.20.49,52122110,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², unbleached"
2923,2025,13.20.20.49,52122190,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², unbleached"
2924,2025,13.20.20.49,52122210,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², bleached"
2925,2025,13.20.20.49,52122290,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², bleached"
2926,2025,13.20.20.49,52122310,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with flax, weighing > 200 g/m², dyed"
2927,2025,13.20.20.49,52122390,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², dyed"
2928,2025,13.20.20.49,52122510,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally or solely with flax, weighing > 200 g/m², printed"
2929,2025,13.20.20.49,52122590,"Woven fabrics of cotton, not of yarns of different colours, weighing > 200 g/m², for technical or industrial uses","Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those mixed principally or solely with man-made fibres or principally or solely with flax, weighing > 200 g/m², printed"
2930,2025,13.20.20.60,52094200,Woven fabrics of denim cotton weighing > 200 g/m² (including denim other than blue),"Denim, containing >= 85% cotton by weight and weighing > 200 g/m², made of yarn of different colours"
2931,2025,13.20.20.60,52114200,Woven fabrics of denim cotton weighing > 200 g/m² (including denim other than blue),"Denim, containing predominantly, but < 85% cotton by weight, mixed principally or solely with man-made fibres and weighing > 200 g/m², made of yarn of different colours"
2932,2025,13.20.20.72,52084100,"Woven fabrics of cotton of yarns of different colours, for other clothing","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m², made from yarn of different colours"
2933,2025,13.20.20.72,52084200,"Woven fabrics of cotton of yarns of different colours, for other clothing","Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 g/m², made from yarn of different colours"
2934,2025,13.20.20.72,52084300,"Woven fabrics of cotton of yarns of different colours, for other clothing","Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m², in three-thread or four-thread twill, incl. cross twill, made from yarn of different colours"
